candidate_id,candidate_name,candidate_skills,candidate_location,candidate_education,internship_id,internship_title,internship_company,required_skills,internship_location,required_education,skill_match_pct,location_match,education_match,is_perfect_match
205,Divya Reddy,"Machine Learning, Cloud Computing, React, SQL, Risk Assessment, Compliance, Claims Processing",Chennai,B.Sc,393,Software Developer,COCHIN SHIPYARD LIMITED,"React, SQL",Chennai,B.Sc,1,1,1,1
928,Meera Gupta,"Mineral Processing, Exploration, Safety Management, Innovation, Marketing",Hyderabad,BA,711,Ore Processing Technician,ESSEL MINING & INDUSTRIES LTD.,"Exploration, Mineral Processing",Hyderabad,BA,1,1,1,1
1284,Ravi Joshi,"Molding, Research, Extrusion, Quality Control, Project Management, Naval Architecture, Retail Management, Sales, Brand Management",Jaipur,B.Sc,55,Consumer Insights Analyst,RELIANCE RETAIL LIMITED,"Brand Management, Sales, Consumer Insights",Remote,B.Sc,0.67,1,1,1
3854,Ritu Rao,"Surveying, Structural Design, Estimation, Construction Management, Cement Production, Mining Operations, Product Development, Supply Chain, Marketing",Mumbai,BCA,679,Consumer Insights Analyst,APOLLO HOSPITALS ENTERPRISE LIMITED,"Marketing, Product Development",Mumbai,BCA,1,1,1,1
4228,Divya Patel,"Regulatory Compliance, Field Trials, Quality Control, Pesticide Development, Data Analysis, Cloud Computing, Cybersecurity, Machine Learning",Mumbai,BA,812,Software Developer,FIDELITY BUSINESS SERVICES INDIA PRIVATE LIMITED,"Cybersecurity, Machine Learning, Cloud Computing",Mumbai,BA,1,1,1,1
4255,Shweta Joshi,"Cloud Computing, Python, Java, React",Jaipur,Diploma,196,QA Engineer,ZEE ENTERTAINMENT ENTERPRISES LIMITED,"Java, Cloud Computing, React",Remote,Diploma,1,1,1,1
4728,Arun Gupta,"Quality Control, Consumer Insights, Retail Management, Sales",Delhi,M.Sc,57,Marketing Executive,RELIANCE RETAIL LIMITED,"Consumer Insights, Retail Management, Sales, Brand Management",Remote,M.Sc,0.75,1,1,1
5122,Divya Singh,"Farming Techniques, Sustainable Farming, Quality Control, Substation Operations, Transmission Lines, Mining Operations, Surveying, Safety Management",Hyderabad,B.Sc,398,Surveyor,THE SUPREME INDUSTRIES LIMITED,"Quality Control, Surveying, Construction Management, Safety Management",Hyderabad,B.Sc,0.75,1,1,1
5446,Kavita Gupta,"Sales, Consumer Insights, Brand Management, Retail Management, Product Design, Safety Management, Environmental Compliance, Drilling",Hyderabad,M.Sc,519,Brand Manager,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,"Consumer Insights, Sales",Hyderabad,M.Sc,1,1,1,1
6000,Meera Das,"Supply Chain, Marketing, Consumer Insights, Research",Chennai,BBA,678,Product Manager,GILLETTE INDIA LIMITED,"Supply Chain, Consumer Insights",Remote,BBA,1,1,1,1
6310,Arun Verma,"Process Engineering, Quality Control, Formulation, Chemical Engineering, Ore Processing, Exploration, Surveying, Construction Management, Safety Management",Kolkata,BCA,548,Construction Manager,BRAHMAPUTRA CRACKER AND POLYMER LIMITED,"Safety Management, Quality Control, Civil Engineering, Surveying",Remote,BCA,0.75,1,1,1
6462,Sunita Singh,"Data Analysis, JavaScript, Cloud Computing, React, Marketing, Product Development, Brand Management, Supply Chain, Extrusion, Manufacturing",Pune,M.Sc,159,Consumer Insights Analyst,TITAN COMPANY LIMITED,"Supply Chain, Marketing, Sales, Brand Management",Remote,M.Sc,0.75,1,1,1
6474,Shweta Rao,"Maintenance, Grid Management, Electrical Engineering, Refining, Geology, Field Operations, Surveying, Exploration, Safety Management",Chennai,BBA,900,Mineral Processing Engineer,PRAKASH INDUSTRIES LIMITED,"Surveying, Safety Management",Chennai,BBA,1,1,1,1
6599,Neha Rao,"Testing, R&D, PCB Design, Manufacturing, Molding, Quality Control",Chennai,BCA,884,R&D Engineer,HP INDIA SALES PRIVATE LIMITED,"Embedded Systems, Manufacturing, Testing",Chennai,BCA,0.67,1,1,1
7509,Neha Kumar,"Urban Planning, Surveying, Project Management, Safety Management",Pune,MBA,893,Structural Engineer,KNR CONSTRUCTIONS LIMITED,"Safety Management, Surveying, Civil Engineering, Project Management",Remote,MBA,0.75,1,1,1
